epoch,accuracy,loss,val_accuracy,val_loss
0,0.1294642835855484,5.890347480773926,0.13600000739097595,2.6254353523254395
1,0.1111111119389534,3.10261607170105,0.14399999380111694,2.5908756256103516
2,0.14821428060531616,2.622967004776001,0.20000000298023224,2.181300640106201
3,0.2222222238779068,2.241335153579712,0.21199999749660492,2.1759259700775146
4,0.17946428060531616,2.319706439971924,0.30799999833106995,2.03159761428833
5,0.1944444477558136,2.3477704524993896,0.30799999833106995,2.0265793800354004
6,0.2057291716337204,2.201275587081909,0.4000000059604645,1.8539741039276123
7,0.25,2.519583225250244,0.40400001406669617,1.8496904373168945
8,0.23928570747375488,2.1375019550323486,0.47200000286102295,1.7099089622497559
9,0.3333333432674408,2.036665678024292,0.46799999475479126,1.7053203582763672
10,0.28660714626312256,1.9919575452804565,0.5199999809265137,1.5555368661880493
11,0.3055555522441864,1.87166166305542,0.515999972820282,1.5520340204238892
12,0.34732142090797424,1.8882067203521729,0.5559999942779541,1.3992860317230225
13,0.3055555522441864,1.8565245866775513,0.5559999942779541,1.3934332132339478
14,0.3705357015132904,1.802822470664978,0.5879999995231628,1.2551897764205933
15,0.4444444477558136,1.907351016998291,0.5879999995231628,1.253036379814148
16,0.42053571343421936,1.683327078819275,0.6600000262260437,1.1394990682601929
17,0.3611111044883728,1.8426984548568726,0.6600000262260437,1.1347572803497314
18,0.4571428596973419,1.5666000843048096,0.6959999799728394,1.0231317281723022
19,0.4444444477558136,1.3966553211212158,0.699999988079071,1.0181602239608765
20,0.49464285373687744,1.4493576288223267,0.7120000123977661,0.9138283133506775
21,0.5,1.6219958066940308,0.7160000205039978,0.9103056788444519
22,0.5517857074737549,1.35556960105896,0.7720000147819519,0.8381063342094421
23,0.6944444179534912,0.934485673904419,0.7720000147819519,0.8347158432006836
24,0.5696428418159485,1.27448308467865,0.7799999713897705,0.7721590399742126
25,0.6388888955116272,1.1128488779067993,0.7760000228881836,0.7690014243125916
26,0.6178571581840515,1.1502755880355835,0.8119999766349792,0.7005866169929504
27,0.6388888955116272,1.1973292827606201,0.8119999766349792,0.69948810338974
28,0.6580356955528259,1.0601301193237305,0.8199999928474426,0.6522675156593323
29,0.6944444179534912,0.9920666217803955,0.8199999928474426,0.6499556303024292
30,0.6598214507102966,1.0118738412857056,0.8159999847412109,0.6044510006904602
31,0.6388888955116272,1.2512811422348022,0.8159999847412109,0.6046534776687622
32,0.6821428537368774,0.9608675241470337,0.828000009059906,0.5829275250434875
33,0.8055555820465088,0.7184627056121826,0.8240000009536743,0.5825273394584656
34,0.7223214507102966,0.8586409687995911,0.8399999737739563,0.5420974493026733
35,0.5555555820465088,1.098474383354187,0.8399999737739563,0.53935307264328
36,0.7169643044471741,0.854876697063446,0.8560000061988831,0.5008276700973511
37,0.8333333134651184,0.6548607349395752,0.8560000061988831,0.5000925660133362
38,0.7553571462631226,0.7409232258796692,0.8640000224113464,0.4775159955024719
39,0.7222222089767456,1.0696443319320679,0.8640000224113464,0.47496306896209717
40,0.7749999761581421,0.704043984413147,0.8640000224113464,0.4715833067893982
41,0.75,0.8807717561721802,0.8679999709129333,0.47205108404159546
42,0.7705357074737549,0.6967076063156128,0.8759999871253967,0.43448224663734436
43,0.7777777910232544,0.6307939887046814,0.8759999871253967,0.43273282051086426
44,0.8017857074737549,0.6442220211029053,0.8600000143051147,0.4650768041610718
45,0.7777777910232544,0.6609740853309631,0.8600000143051147,0.46673914790153503
46,0.7928571701049805,0.6276872158050537,0.8799999952316284,0.41541755199432373
47,0.8055555820465088,0.5901119709014893,0.8799999952316284,0.41331884264945984
48,0.8151785731315613,0.5591785907745361,0.8799999952316284,0.4193243682384491
49,0.8888888955116272,0.45690128207206726,0.8799999952316284,0.41958436369895935
50,0.8366071581840515,0.537459671497345,0.871999979019165,0.42313331365585327
