epoch,accuracy,loss,val_accuracy,val_loss
0,0.09017857164144516,6.722272872924805,0.13600000739097595,2.8815855979919434
1,0.1944444477558136,2.788933277130127,0.13199999928474426,2.844744920730591
2,0.14196428656578064,2.7039999961853027,0.1599999964237213,2.345142126083374
3,0.2222222238779068,2.238886594772339,0.1599999964237213,2.338764190673828
4,0.17232142388820648,2.3453760147094727,0.21199999749660492,2.180037021636963
5,0.1944444477558136,2.167491912841797,0.21199999749660492,2.175426483154297
6,0.2053571492433548,2.219979763031006,0.31200000643730164,2.0392260551452637
7,0.2222222238779068,2.14929461479187,0.31200000643730164,2.035555839538574
8,0.23125000298023224,2.1499240398406982,0.3479999899864197,1.9178097248077393
9,0.2777777910232544,2.1999597549438477,0.3440000116825104,1.9145619869232178
10,0.27589285373687744,2.068248748779297,0.4000000059604645,1.7949638366699219
11,0.3055555522441864,1.882414698600769,0.4000000059604645,1.7916311025619507
12,0.2973214387893677,1.9706381559371948,0.4399999976158142,1.6611926555633545
13,0.3888888955116272,1.8909053802490234,0.4359999895095825,1.6567081212997437
14,0.34910714626312256,1.864809274673462,0.515999972820282,1.5137615203857422
15,0.3333333432674408,1.6630492210388184,0.5239999890327454,1.5095210075378418
16,0.3928571343421936,1.7577096223831177,0.5440000295639038,1.3751680850982666
17,0.3611111044883728,1.8891165256500244,0.5440000295639038,1.3697658777236938
18,0.4258928596973419,1.6534476280212402,0.6000000238418579,1.246111273765564
19,0.4722222089767456,1.4670950174331665,0.6000000238418579,1.2417083978652954
20,0.4580357074737549,1.5712602138519287,0.6359999775886536,1.119003176689148
21,0.4444444477558136,1.7355787754058838,0.6359999775886536,1.114148736000061
22,0.49196428060531616,1.4972379207611084,0.7039999961853027,0.980485200881958
23,0.5,1.3132234811782837,0.7039999961853027,0.9772946238517761
24,0.5491071343421936,1.3186020851135254,0.7599999904632568,0.8551900386810303
25,0.5277777910232544,1.3863837718963623,0.7559999823570251,0.8519774675369263
26,0.5660714507102966,1.3049187660217285,0.7839999794960022,0.7895408272743225
27,0.75,0.806232750415802,0.7879999876022339,0.7877296805381775
28,0.5901785492897034,1.2052730321884155,0.7879999876022339,0.7061833143234253
29,0.5833333134651184,1.2205843925476074,0.7919999957084656,0.7037422060966492
30,0.6285714507102966,1.11980140209198,0.8159999847412109,0.6276980042457581
31,0.6388888955116272,1.1515307426452637,0.8199999928474426,0.6269914507865906
32,0.675000011920929,1.0062285661697388,0.8320000171661377,0.5844106674194336
33,0.5833333134651184,1.4236117601394653,0.8320000171661377,0.5861247777938843
34,0.6812499761581421,0.9763137698173523,0.8600000143051147,0.5275439023971558
35,0.7777777910232544,0.7914426326751709,0.8600000143051147,0.5250226259231567
36,0.7241071462631226,0.8401159048080444,0.8640000224113464,0.49167028069496155
37,0.6944444179534912,1.1492074728012085,0.8640000224113464,0.49060118198394775
38,0.6964285969734192,0.8523516058921814,0.8759999871253967,0.43087783455848694
39,0.75,0.8228657245635986,0.8759999871253967,0.43065106868743896
40,0.7562500238418579,0.7414180040359497,0.8799999952316284,0.42521166801452637
41,0.6388888955116272,0.9866883754730225,0.8799999952316284,0.423820823431015
42,0.7607142925262451,0.7466868162155151,0.8920000195503235,0.4006863236427307
43,0.7777777910232544,0.6345170140266418,0.8880000114440918,0.3970966637134552
44,0.7705357074737549,0.6628148555755615,0.8799999952316284,0.4061874449253082
45,0.8055555820465088,0.6161665320396423,0.8799999952316284,0.4046812951564789
46,0.7928571701049805,0.6284685134887695,0.8999999761581421,0.3498769998550415
47,0.7222222089767456,0.8585150241851807,0.8999999761581421,0.34718602895736694
48,0.7946428656578064,0.6054441928863525,0.8999999761581421,0.34491950273513794
49,0.6944444179534912,0.7525975108146667,0.8999999761581421,0.3448203206062317
50,0.7875000238418579,0.6074053049087524,0.8960000276565552,0.31763094663619995
51,0.8055555820465088,0.4571932554244995,0.8960000276565552,0.3145934045314789
52,0.8321428298950195,0.5257663130760193,0.8920000195503235,0.3157649338245392
53,0.7222222089767456,0.9741009473800659,0.8920000195503235,0.31564754247665405
54,0.8223214149475098,0.574045717716217,0.8999999761581421,0.31316351890563965
55,0.8333333134651184,0.47256696224212646,0.8999999761581421,0.31284016370773315
56,0.8285714387893677,0.5229430198669434,0.8920000195503235,0.3127436935901642
